

MergeSort:
   MergeSort | N: 100        | Dataset:dataSet1.data  Time: 00:00:00.000012 (12)
   MergeSort | N: 10000      | Dataset:dataSet1.data  Time: 00:00:00.001468 (1468)
   MergeSort | N: 1000000    | Dataset:dataSet1.data  Time: 00:00:00.205722 (205722)
   MergeSort | N: 100        | Dataset:dataSet2.data  Time: 00:00:00.000007 (7)
   MergeSort | N: 10000      | Dataset:dataSet2.data  Time: 00:00:00.000897 (897)
   MergeSort | N: 1000000    | Dataset:dataSet2.data  Time: 00:00:00.118129 (118129)
   MergeSort | N: 100        | Dataset:dataSet3.data  Time: 00:00:00.000008 (8)
   MergeSort | N: 10000      | Dataset:dataSet3.data  Time: 00:00:00.000935 (935)
   MergeSort | N: 1000000    | Dataset:dataSet3.data  Time: 00:00:00.122010 (122010)


MergeSort:
   MergeSort | N: 100        | Dataset:dataSet1.data  Time: 00:00:00.000011 (11)
   MergeSort | N: 10000      | Dataset:dataSet1.data  Time: 00:00:00.001460 (1460)
   MergeSort | N: 1000000    | Dataset:dataSet1.data  Time: 00:00:00.205525 (205525)
   MergeSort | N: 100        | Dataset:dataSet2.data  Time: 00:00:00.000007 (7)
   MergeSort | N: 10000      | Dataset:dataSet2.data  Time: 00:00:00.000892 (892)
   MergeSort | N: 1000000    | Dataset:dataSet2.data  Time: 00:00:00.118679 (118679)
   MergeSort | N: 100        | Dataset:dataSet3.data  Time: 00:00:00.000008 (8)
   MergeSort | N: 10000      | Dataset:dataSet3.data  Time: 00:00:00.000936 (936)
   MergeSort | N: 1000000    | Dataset:dataSet3.data  Time: 00:00:00.122690 (122690)


MergeSort:
   MergeSort | N: 100        | Dataset:dataSet1.data  Time: 00:00:00.000012 (12)
   MergeSort | N: 10000      | Dataset:dataSet1.data  Time: 00:00:00.001459 (1459)
   MergeSort | N: 1000000    | Dataset:dataSet1.data  Time: 00:00:00.206337 (206337)
   MergeSort | N: 100        | Dataset:dataSet2.data  Time: 00:00:00.000008 (8)
   MergeSort | N: 10000      | Dataset:dataSet2.data  Time: 00:00:00.000894 (894)
   MergeSort | N: 1000000    | Dataset:dataSet2.data  Time: 00:00:00.119043 (119043)
   MergeSort | N: 100        | Dataset:dataSet3.data  Time: 00:00:00.000008 (8)
   MergeSort | N: 10000      | Dataset:dataSet3.data  Time: 00:00:00.000938 (938)
   MergeSort | N: 1000000    | Dataset:dataSet3.data  Time: 00:00:00.122788 (122788)
